SampleA.Rep1	SampleA.Rep2	SampleB.Rep1	SampleB.Rep2
ENSMUST00000022746.12	359	294	366	241
ENSMUST00000175862.7	87	111	123	77
ENSMUST00000176554.1	27	30	35	21
ENSMUST00000176826.1	96	96	60	68
ENSMUST00000177263.1	181	560	543	357
ENSMUST00000177478.1	10	23	25	18
MSTRG.14573.1	84	84	79	58
ENSMUST00000090461.11	56	51	54	34
ENSMUST00000159604.1	14	15	10	10
ENSMUST00000159714.1	18	17	18	11
ENSMUST00000160612.1	8	9	8	6
ENSMUST00000161947.1	7	9	8	6
ENSMUST00000162154.1	15	18	17	12
ENSMUST00000162430.1	79	68	52	48
ENSMUST00000163073.1	23	21	15	16
ENSMUST00000226412.1	91	97	78	67
ENSMUST00000227175.1	44	38	50	41
MSTRG.14569.1	3	4	3	3
MSTRG.14570.1	27	36	36	25
ENSMUST00000078019.12	152	153	149	121
ENSMUST00000080880.11	3	3	3	2
ENSMUST00000110663.8	35	26	24	18
ENSMUST00000110664.8	57	61	72	47
ENSMUST00000159046.1	16	17	13	12
ENSMUST00000159490.7	29	30	31	19
ENSMUST00000159552.1	14	13	16	15
ENSMUST00000160134.7	388	290	305	222
ENSMUST00000161040.7	15	13	17	12
ENSMUST00000161558.1	501	601	567	413
ENSMUST00000161812.7	84	94	127	67
ENSMUST00000162094.2	37	44	36	31
ENSMUST00000162140.1	33	29	27	21
ENSMUST00000163082.1	49	49	32	34
MSTRG.14564.1	2	2	2	1
MSTRG.14566.1	18	18	10	13
ENSMUST00000022751.14	61	58	58	40
ENSMUST00000081640.11	21	20	49	42
ENSMUST00000118193.7	55	70	51	47
ENSMUST00000141167.1	36	34	42	22
ENSMUST00000144653.7	46	80	71	54
ENSMUST00000022791.8	28	33	40	26
ENSMUST00000148169.1	7	9	10	8
ENSMUST00000148817.1	36	34	35	27
MSTRG.14531.1	55	58	46	43
ENSMUST00000110690.8	96	96	109	60
ENSMUST00000124591.7	175	150	178	102
ENSMUST00000131240.1	87	79	86	66
ENSMUST00000133130.1	26	27	35	21
ENSMUST00000138927.1	122	167	176	136
MSTRG.14533.2	62	66	93	106
ENSMUST00000047379.14	29	33	34	22
ENSMUST00000120563.1	75	75	70	48
ENSMUST00000133966.1	431	433	712	426
MSTRG.14552.2	39	35	30	24
MSTRG.14554.1	50	39	45	33
ENSMUST00000045356.8	25	24	19	19
ENSMUST00000226758.1	83	71	50	52
ENSMUST00000227111.1	14	13	12	11
ENSMUST00000227463.1	37	26	16	23
ENSMUST00000227635.1	32	27	21	21
ENSMUST00000227674.1	57	73	71	55
MSTRG.14545.1	51	51	33	35
ENSMUST00000118365.2	321	212	303	199
ENSMUST00000141020.1	9	10	9	7
MSTRG.14544.1	9	11	12	8
ENSMUST00000046633.9	401	361	292	238
ENSMUST00000228421.1	101	102	94	73
MSTRG.14531.5	24	29	32	20
ENSMUST00000058593.9	58	180	73	133
ENSMUST00000096494.4	23	23	26	16
ENSMUST00000159726.1	69	56	50	39
ENSMUST00000160207.7	116	123	77	81
ENSMUST00000160273.7	93	105	70	69
ENSMUST00000160314.1	3	5	6	4
ENSMUST00000162105.1	32	29	21	22
